CHILE|AUSTRALIA|-|-
GERMANY|CAMEROON|-|-
CRUZEIRO|CORITIBA|-|-
SAO PAULO|FLUMINENSE|-|-
CHILE|AUSTRALIA|2.45|1.50
GERMANY|CAMEROON|2.45|1.50
MAURITIUS|ANGOLA|1.55|2.30
BOCA JUNIORS|U.SANTA FE|2.15|1.65
ATL. RAFAELA|SARMIENTO J.|1.90|1.85
BANFIELD|RACING CLUB|1.80|1.95
COLON|RIVER PLATE|1.70|2.05
ARSENAL SARANDI|TIGRE|1.70|2.05
PATRONATO|ATL.TUCUMAN|1.60|2.20
DOUGLAS HAIG|ALMAGRO|1.35|2.80
VILLA DALMINE|FERRO C.O.|1.32|2.95
ESTUDIANTES S.L.|C.CORDOBA|1.50|2.30
SAN MARTIN T.|IND. RIVADAVIA|1.60|2.10
CRUCERO NORTE|BOCA UNIDOS|1.31|3.00
CHACARITA J.|SANTAMARINA|1.50|2.30
INSTITUTO C.|FLANDRIA|1.50|2.30
ARGENTINOS JRS|JUVENTUD GUAL.|1.70|2.00
DOCK SUD|CLUB LUJAN|1.60|2.12
MIDLAND|EL PORVENIR|1.45|2.40
ARG. DE MERLO|ARG. DE QUILMES|1.50|2.35
BERAZATEGUI|DEP.MERLO|1.60|2.05
CANUELAS|SAN MIGUEL|1.45|2.40
JUSTO JOSE|DEF.CAMBACERES|1.60|2.05
KINGSTON CITY|PASCOE V.|2.00|1.65
VITEBSK|SLUTSK|1.55|2.30
GORODEYA|DIN.BREST|1.50|2.38
NEMAN|BATE BORISOV|1.65|2.10
NAFTAN|SLAVIA M.|1.60|2.20
THE STRONGEST|SPORT BOYS|2.90|1.32
U.SUCRE|BOLIVAR|2.30|1.50
ORIENTE P.|NACIONAL P.|2.35|1.50
VASCO|ATLETICO GO|1.85|1.85
ATLETICO-PR|VITORIA|1.70|2.00
CRUZEIRO|CORITIBA|1.65|2.12
GREMIO|CORINTHIANS|1.65|2.15
PONTE PRETA|PALMEIRAS|1.60|2.20
SAO PAULO|FLUMINENSE|1.80|1.90
BAHIA|FLAMENGO RJ|1.80|1.90
CHAPECOENSE|ATLETICO-MG|1.95|1.75
BOTAFOGO|AVAI|1.65|2.10
YPIRANGA FC|TOMBENSE|1.50|2.25
SAMPAIO CORREA|SALGUEIRO|1.65|2.05
CUIABA|ASA|1.55|2.15
CSA|FORTALEZA|1.75|1.85
BEIJING G.|JIANGSU SUNING|1.85|1.75
LDU QUITO|EMELEC|1.55|2.20
MACARA|CLAN JUVENIL|1.80|1.85
BARCELONA SC|DELFIN|1.75|1.90
ROPS|ILVES|1.55|2.35
SJK|PS KEMI|1.85|1.85
ATLANTE|SANTOS LAGUNA|2.15|1.60
GR.FURTH|AALEN|2.20|1.60
JAVOR|GAZ METAN MEDIAS|2.05|1.65
WACKER I.|DYNAMO M.|2.05|1.70
LIBERIA|SAPRISSA|1.70|2.00
VESTMANNAEYJAR|HAFNARFJORDUR|1.95|1.75
VIKINGUR R.|OLAFSVIK|2.00|1.70
BREIDABLIK|GRINDAVIK|1.95|1.70
AALESUND|ODD|1.80|1.90
ROSENBORG|SOGNDAL|2.40|1.50
SARPSBORG|BRANN|1.70|2.10
STABAEK|KRISTIANSUND|2.00|1.70
TROMSO|SANDEFJORD|1.95|1.75
VIKING|HAUGESUND|1.85|1.90
STROMSGODSET|MOLDE|2.10|1.65
ASANE|FREDRIKSTAD|1.80|1.90
BODO/GLIMT|STROMMEN|2.60|1.45
KONGSVINGER|ELVERUM|2.20|1.60
SANDNES|JERV|1.95|1.75
TROMSDALEN|LEVANGER|2.00|1.70
ULL/KISA|RANHEIM|2.00|1.70
NARDO|FRAM|1.75|1.85
NEST-SOTRA|VINDBJART|3.35|1.24
NOTODDEN|VIDAR|2.30|1.45
BRYNE|V.HAUGESUND|2.38|1.45
GARCILASO|CAJAMARCA|1.75|1.90
SPORT HUANCAYO|U.DE DEPORTES|1.85|1.85
ALIANZA LIMA|SPORT ROSARIO|1.60|2.15
COMERCIANTES U.|UNION COMERCIO|1.90|1.80
ANSAN GREENERS|BUSAN|1.85|1.85
SEOUL E-L.|DAEJEON|1.85|1.85
BARCELONA B|SANTANDER|2.70|1.35
ALBACETE|VALENCIA B|1.55|2.20
FALKENBERGS|SYRIANSKA|2.05|1.65
FREJ|GAIS|1.80|1.90
OSTERS|VARBERGS|1.90|1.75
DALKURD|NORRBY|2.25|1.55
TRELLEBORGS|BROMMAPOJKARNA|1.90|1.80
VARNAMO|HELSINGBORG|2.00|1.70
SANDVIKENS IF|NYKOPINGS|2.10|1.60
AKROPOLIS|SOLLENTUNA|2.25|1.50
VASTERAS|BRAGE|1.95|1.70
ANGELHOLMS|ROSENGARD|2.45|1.45
KARLSKRONA|LANDSKRONA|1.90|1.75
MJALLBY|LJUNGSKILE|1.95|1.70
ODDEVOLD|OSKARSHAMNS|2.25|1.50
QVIDING|KRISTIANSTADS|1.85|1.75
UTSIKTENS|ASSYRISKA BK|2.90|1.32
GAUTHIOD|GREBBESTADS|2.35|1.50
KARLSLUNDS|ASPUDDEN T.|3.45|1.23
OREBRO SYR.|VARMDO|3.80|1.19
SLEIPNER|SYLVIA|2.55|1.40
BOSTON RIVER|EL TANQUE S.|1.75|1.90
CERRO|SUD AMERICA|1.90|1.75
DEFENSOR SP.|LIVERPOOL M.|1.75|1.85
WANDERERS|RIVER PLATE|1.75|1.90
NACIONAL|JUVENTUD|1.80|1.85
PORTLAND|SEATTLE|2.05|1.70
